SinkClassification,CommandLine,EnvironmentVariable,File,Network,NumberOfElementsCopiedWithinBounds,StringCopyWithinBounds,FormatStringPrecisionWithinBounds,ArrayWriteIndexWithinBounds,IsCharacterCaseConversionSink,Vulnerable?
1,0,0,0,0,-1,-1,-1,0,-1,0
1,0,0,0,0,0,-1,-1,-1,-1,0
4,0,0,0,0,-1,-1,1,-1,-1,0
4,0,0,0,0,-1,-1,0,-1,-1,0
5,2,0,0,0,-1,-1,-1,-1,-1,0
6,2,0,0,0,-1,-1,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
1,0,0,0,0,0,-1,-1,-1,-1,0
1,0,0,0,0,0,-1,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
4,0,0,0,0,-1,-1,0,-1,-1,0
6,1,0,0,0,-1,-1,0,-1,-1,0
1,0,0,0,0,-1,-1,-1,0,-1,0
1,0,0,0,0,-1,-1,-1,1,-1,1
4,0,0,0,0,-1,-1,1,-1,-1,1
4,0,0,0,0,-1,-1,1,-1,-1,1
4,0,0,0,0,-1,-1,1,-1,-1,1
5,0,0,1,0,-1,-1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,1
5,3,0,0,0,-1,-1,-1,-1,-1,0
1,0,0,0,0,1,-1,-1,-1,-1,1
1,0,0,0,0,2,-1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
4,0,0,0,0,-1,-1,1,-1,-1,1
6,1,0,0,0,-1,-1,1,-1,-1,1
1,0,0,0,0,-1,-1,-1,1,-1,1
7,0,0,0,0,-1,-1,-1,-1,1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
1,0,0,0,0,2,-1,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
1,0,0,0,0,2,-1,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
